A3L2UB07EZJAMD	0	MCR	11.0	135	ekki enplilí	she will enter	she will accept,she will enter,he accepted,you enter,he enters	she will accept	incorrect
A3L2UB07EZJAMD	0	MCR	11.1	135	ekki enplilí	she will enter	she will enter,he accepted,you enter,he enters	she will enter	correct
A3L2UB07EZJAMD	0	MC	12.0	88	ekki melilí	she will watch	she will watch,you will enter,he will watch,she accepted,she entered	she will watch	correct
A3L2UB07EZJAMD	0	EX	13.0	9	ák icedpü	he accepted	ALL	he accepted	revealed
A3L2UB07EZJAMD	0	TP	14.0	164	ekki icedpi	she accepts	ALL	she accepted	incorrect
A3L2UB07EZJAMD	0	TP	15.0	179	ekki enplilí	she will enter	ALL	she accepted	incorrect
A3L2UB07EZJAMD	0	MCR	16.0	99	yé icedpé	I accept	he accepts,I will accept,she accepted,she watched,I accept	I accept	correct
A3L2UB07EZJAMD	0	MC	17.0	54	enplil	to enter	to enter,he will watch,you accepted,she accepts,she will watch	to enter	correct
A3L2UB07EZJAMD	0	TP	18.0	173	pi enpliz	you enter	ALL	he entered	incorrect
A3L2UB07EZJAMD	0	TP	19.0	164	ekki icedpi	she accepts	ALL	she entered	incorrect
A3L2UB07EZJAMD	0	MCR	20.0	116	ekki icedpü	she accepted	she accepted,you will enter,you entered,I accept,she watched	she accepted	correct
A3L2UB07EZJAMD	0	EX	21.0	1	yé icedpé	I accept	ALL	I accept	revealed
A3L2UB07EZJAMD	0	TPR	22.0	195	ák icedpi	he accepts	ALL	you accept	incorrect
A3L2UB07EZJAMD	0	TPR	22.0	195	ák icedpi	he accepts	ALL	he accepts	revealed
A3L2UB07EZJAMD	0	TP	23.0	181	pi enplizpe	you entered	ALL	he watched	incorrect
A3L2UB07EZJAMD	0	MCR	24.0	100	pi icedpiz	you accept	she accepted,she will enter,you accept,I watched,she will watch	I watched	incorrect
A3L2UB07EZJAMD	0	MCR	24.1	100	pi icedpiz	you accept	she accepted,she will enter,you accept,she will watch	you accept	correct
A3L2UB07EZJAMD	0	MCR	25.0	105	ekki icedpi	she accepts	I will accept,she accepted,you enter,she accepts,he will watch	she accepts	correct
A3L2UB07EZJAMD	0	TP	26.0	189	yé melá	I watched	ALL	he entered	incorrect
A3L2UB07EZJAMD	0	EX	27.0	0	icedpil	to accept	ALL	to accept	revealed
A3L2UB07EZJAMD	0	TPR	28.0	204	yé enplé	I enter	ALL	he entered	incorrect
A3L2UB07EZJAMD	0	TPR	28.0	204	yé enplé	I enter	ALL	I enter	revealed
A3L2UB07EZJAMD	0	TP	29.0	164	ekki icedpi	she accepts	ALL	she accepts	correct
A3L2UB07EZJAMD	0	MC	30.0	76	ák enplü	he entered	he entered,she entered,I enter,I will enter,he will watch	I enter	incorrect
A3L2UB07EZJAMD	0	TPR	31.0	221	yé melá	I watched	ALL	I enter	incorrect
A3L2UB07EZJAMD	0	TPR	31.0	221	yé melá	I watched	ALL	I watched	revealed
A3L2UB07EZJAMD	0	EX	32.0	22	ák enplü	he entered	ALL	he entered	revealed
A3L2UB07EZJAMD	0	MCR	33.0	138	pi enplizpe	you entered	I will accept,I will enter,you entered,you watched,I accept	you watched	incorrect
A3L2UB07EZJAMD	0	MCR	33.1	138	pi enplizpe	you entered	I will accept,I will enter,you entered,I accept	you entered	correct
A3L2UB07EZJAMD	0	EX	34.0	2	pi icedpiz	you accept	ALL	you accept	revealed
A3L2UB07EZJAMD	0	EX	35.0	28	ekki melilí	she will watch	ALL	she will watch	revealed
A3L2UB07EZJAMD	0	TP	36.0	XX	pi meliz	you watch	ALL	he watched	nofeedback
A3L2UB07EZJAMD	0	TP	36.1	XX	pi icedpilíz	you will accept	ALL	he will enter	nofeedback
A3L2UB07EZJAMD	0	TP	36.2	XX	ák melü	he watched	ALL	you enter	nofeedback
A3L2UB07EZJAMD	0	TP	36.3	XX	pi melilíz	you will watch	ALL	he will watch	nofeedback
A3L2UB07EZJAMD	0	TP	36.4	XX	yé icedpá	I accepted	ALL	I watched	nofeedback
A3L2UB07EZJAMD	0	TP	36.5	XX	yé melé 	I watch	ALL	I entered	nofeedback
A3L2UB07EZJAMD	0	TP	36.6	XX	ák meli	he watches	ALL	you watch	nofeedback
AS1QMPXIT1EGX	3	EX	1.0	22	ák enplü	he entered	ALL	he entered	revealed
AS1QMPXIT1EGX	3	EX	2.0	18	ák enplilí	he will enter	ALL	he will enter	revealed
AS1QMPXIT1EGX	3	EX	3.0	5	yé icedpilá	I will accept	ALL	I will accept	revealed
AS1QMPXIT1EGX	3	MCR	4.0	136	yé enplá	I entered	she watches,I entered,he will enter,she will watch,she accepted	I entered	correct
AS1QMPXIT1EGX	3	EX	5.0	29	yé melá	I watched	ALL	I watched	revealed
AS1QMPXIT1EGX	3	EX	6.0	29	yé melá	I watched	ALL	I watched	revealed
AS1QMPXIT1EGX	3	MC	7.0	47	ekki icedpilí	she will accept	she will accept,she watched,I will watch,I will accept,to enter	she will accept	correct
AS1QMPXIT1EGX	3	MC	8.0	50	ák icedpü	he accepted	he accepted,you accept,I accept,he entered,you entered	he accepted	correct
AS1QMPXIT1EGX	3	EX	9.0	25	ekki meli	she watches	ALL	she watches	revealed
AS1QMPXIT1EGX	3	MC	10.0	44	ák icedpilí	he will accept	he will accept,I accept,she enters,she will watch,she will enter	he will accept	correct
AS1QMPXIT1EGX	3	EX	11.0	13	pi enpliz	you enter	ALL	you enter	revealed
AS1QMPXIT1EGX	3	EX	12.0	23	ekki enplü	she entered	ALL	she entered	revealed
AS1QMPXIT1EGX	3	MCR	13.0	98	yé icedpé	I accept	he enters,he will accept,to accept,I watched,I accept	I accept	correct
AS1QMPXIT1EGX	3	MC	14.0	86	ák melilí	he will watch	he will watch,to accept,she accepted,she will enter,she watches	he will watch	correct
AS1QMPXIT1EGX	3	TPR	15.0	220	ekki melilí	she will watch	ALL	she watches	incorrect
AS1QMPXIT1EGX	3	TPR	15.0	220	ekki melilí	she will watch	ALL	she will watch	revealed
AS1QMPXIT1EGX	3	MCR	16.0	153	ekki melilí	she will watch	she watches,to watch,she will watch,I watched,to enter	she will watch	correct
AS1QMPXIT1EGX	3	TPR	17.0	205	pi enpliz	you enter	ALL	you enter	correct
AS1QMPXIT1EGX	3	TP	18.0	167	ekki icedpilí	she will accept	ALL	she will accept	correct
AS1QMPXIT1EGX	3	MCR	19.0	130	pi enplilíz	you will enter	she will accept,you will enter,I enter,you accept,he will watch	you accept	incorrect
AS1QMPXIT1EGX	3	MCR	19.1	130	pi enplilíz	you will enter	she will accept,you will enter,I enter,he will watch	you will enter	correct
AS1QMPXIT1EGX	3	EX	20.0	2	pi icedpiz	you accept	ALL	you accept	revealed
AS1QMPXIT1EGX	3	TP	21.0	182	ák enplü	he entered	ALL	he entered	correct
AS1QMPXIT1EGX	3	TPR	22.0	212	yé enplá	I entered	ALL	you entered	incorrect
AS1QMPXIT1EGX	3	TPR	22.0	212	yé enplá	I entered	ALL	I entered	revealed
AS1QMPXIT1EGX	3	MCR	23.0	112	pi icedpizpe	you accepted	you accepted,she enters,he entered,she entered,I watched	you accepted	correct
AS1QMPXIT1EGX	3	TPR	24.0	201	ák icedpü	he accepted	ALL	he accepted	correct
AS1QMPXIT1EGX	3	EX	25.0	26	yé melilá	I will watch	ALL	I will watch	revealed
AS1QMPXIT1EGX	3	EX	26.0	28	ekki melilí	she will watch	ALL	she will watch	revealed
AS1QMPXIT1EGX	3	EX	27.0	4	ekki icedpi	she accepts	ALL	she accepts	revealed
AS1QMPXIT1EGX	3	MCR	28.0	132	ák enplilí	he will enter	to watch,he will enter,he entered,I watched,I accept	he will enter	correct
AS1QMPXIT1EGX	3	EX	29.0	11	enplil	to enter	ALL	to enter	revealed
AS1QMPXIT1EGX	3	TPR	30.0	212	yé enplá	I entered	ALL	I will enter	incorrect
AS1QMPXIT1EGX	3	TPR	30.0	212	yé enplá	I entered	ALL	I entered	revealed
AS1QMPXIT1EGX	3	TP	31.0	163	ák icedpi	he accepts	ALL	he will accept	incorrect
