username	training_step	prompt_type	current_action	current_action_id	current_observation	complex_observation
A1JO6AY55FG7QU	8	MCR	["147","MCR","ekki meli","she watches","she will watch","she accepts","he will enter","she watched"]	147	she watched	{"1":{"guess":"she will watch","time":12},"2":{"guess":"she watched","time":10}}
A1JO6AY55FG7QU	9	EX	["11","EX","enplil","to enter"]	11	to enter	NULL
A1JO6AY55FG7QU	10	MC	["95","MC","ekki melü","she watched","you watched","she enters","he will enter","I enter"]	95	she watched	NULL
A1JO6AY55FG7QU	11	EX	["11","EX","enplil","to enter"]	11	to enter	NULL
A1JO6AY55FG7QU	12	EX	["23","EX","ekki enplü","she entered"]	23	she entered	NULL
A1JO6AY55FG7QU	13	EX	["25","EX","ekki meli","she watches"]	25	she watches	NULL
A1JO6AY55FG7QU	14	EX	["16","EX","yé enplilá","I will enter"]	16	I will enter	NULL
A1JO6AY55FG7QU	15	EX	["27","EX","ák melilí","he will watch"]	27	he will watch	NULL
A1JO6AY55FG7QU	16	EX	["22","EX","ák enplü","he entered"]	22	he entered	NULL
A1JO6AY55FG7QU	17	EX	["2","EX","pi icedpiz","you accept"]	2	you accept	NULL
A1JO6AY55FG7QU	18	EX	["26","EX","yé melilá","I will watch"]	26	I will watch	NULL
A1JO6AY55FG7QU	19	MCR	["111","MCR","ekki icedpilí","she will accept","she watched","I will watch","I will accept","to enter"]	111	she will accept	{"1":{"guess":"she will accept","time":12}}
A1JO6AY55FG7QU	20	EX	["12","EX","yé enplé","I enter"]	12	I enter	NULL
A1JO6AY55FG7QU	21	MCR	["154","MCR","yé melá","I watched","he will accept","you enter","I enter","she will enter"]	154	I watched	{"1":{"guess":"I enter","time":12},"2":{"guess":"I watched","time":9}}
A1JO6AY55FG7QU	22	TPR	["199","TPR","ekki icedpilí","she will accept"]	199	she will watch	NULL
A1JO6AY55FG7QU	23	TPR	["208","TPR","yé enplilá","I will enter"]	208	i entered	NULL
A1JO6AY55FG7QU	24	TP	["178","TP","ák enplilí","he will enter"]	178	he entered	NULL
A1JO6AY55FG7QU	25	MC	["70","MC","ekki enplilí","she will enter","she will watch","I will watch","he accepts","to enter"]	70	she will watch	NULL
A1JO6AY55FG7QU	26	MC	["48","MC","pi icedpizpe","you accepted","she enters","she entered","I watched","he entered"]	48	you accepted	NULL
A1JO6AY55FG7QU	27	TPR	["210","TPR","ák enplilí","he will enter"]	210	he will enter	NULL
A1JO6AY55FG7QU	28	MC	["73","MC","yé enplá","I entered","she entered","he enters","I will enter","to watch"]	73	I entered	NULL
A1JO6AY55FG7QU	29	EX	["22","EX","ák enplü","he entered"]	22	he entered	NULL
A1JO6AY55FG7QU	30	MCR	["105","MCR","ekki icedpi","she accepts","I will accept","she accepted","he will watch","you enter"]	105	she accepts	{"1":{"guess":"she accepted","time":11},"2":{"guess":"she accepts","time":9}}
A1JO6AY55FG7QU	31	TP	["169","TP","ák icedpü","he accepted"]	169	he will watch	NULL
A1JO6AY55FG7QU	32	EX	["30","EX","pi melizpe","you watched"]	30	you watched	NULL
A1JO6AY55FG7QU	33	MC	["44","MC","ák icedpilí","he will accept","I accept","she enters","she will watch","she will enter"]	44	he will accept	NULL
A1JO6AY55FG7QU	34	MCR	["122","MCR","pi enpliz","you enter","she entered","she will enter","he accepts","she accepts"]	122	you enter	{"1":{"guess":"you enter","time":13}}
A1JO6AY55FG7QU	35	MC	["53","MC","ekki icedpü","she accepted","to accept","she enters","she will accept","you accepted"]	53	she will accept	NULL
A36J59FFWYQ6AK	1	EX	["15","EX","ekki enpli","she enters"]	15	she enters	NULL
A36J59FFWYQ6AK	2	EX	["21","EX","pi enplizpe","you entered"]	21	you entered	NULL
A36J59FFWYQ6AK	3	MC	["73","MC","yé enplá","I entered","she entered","he enters","I will enter","to watch"]	73	I will enter	NULL
A36J59FFWYQ6AK	4	EX	["25","EX","ekki meli","she watches"]	25	she watches	NULL
A36J59FFWYQ6AK	5	EX	["10","EX","ekki icedpü","she accepted"]	10	she accepted	NULL
A36J59FFWYQ6AK	6	MC	["61","MC","ák enpli","he enters","you accepted","I will enter","he accepts","he entered"]	61	I will enter	NULL
A36J59FFWYQ6AK	7	EX	["5","EX","yé icedpilá","I will accept"]	5	I will accept	NULL
A36J59FFWYQ6AK	8	TP	["179","TP","ekki enplilí","she will enter"]	179	she enters	NULL
